ID,Name,관련,종류,숫자 최소치,숫자 최대치,숫자 최소치 강화,숫자최대치 강화,이동횟수 강화,이동 횟수,영입 희귀도,영입시 말 개수,강화 레벨,,
u001,체셔 캣,앨리스,고유,1,4,0,4.7,0,1,0,1,0,,
u002,보석을 문 제비,행복한 왕자,고유,2,3,1,1.2,0,2,0,1,0,,
u003,장 파스파르투,필리어스 포그,고유,1,5,2.3,2,0,1,0,1,0,,
u004,노틸러스호,네모 선장,고유,2,4,2.7,3.4,0.3,1,0,1,0,,
u005,늑대 사냥꾼,빨간망토,고유,3,5,1.9,2.2,0,1,0,1,0,,
u006,백설공주 왕자,백설공주,고유,4,5,1.8,1.8,0,1,0,1,0,,
u007,연기 기둥 천사,게르다,고유,9,9,0.15,0.15,0.15,1,0,1,0,,
u008,하트 잭,하트 퀸,고유,4,4,1.6,1.6,0,1,0,1,0,,
u009,정예병,오스카 와일드,고유,2,4,1.7,1.7,0,1,0,1,0,,
u010,픽스,포그의 친구들,고유,4,4,1,2.4,0,1,0,1,0,,
u011,대왕 오징어,군함,고유,5,6,2.2,2.4,0,1,0,1,0,,
u012,중간 늑대,빨간망토의 늑대,고유,3,5,2.3,2.6,0,1,0,1,0,,
u013,거울,사과 마녀,고유,5,5,2.6,2.6,0,0,0,1,0,,
u014,눈 군단장,눈의 여왕,고유,1,3,1.7,1.7,0,1,0,1,0,,
u015,,,,,,,,,,,,,,
u016,,,,,,,,,,,,,,
u017,,,,,,,,,,,,,,
u018,,,,,,,,,,,,,,
u019,,,,,,,,,,,,,,
u020,,,,,,,,,,,,,,
