ID,Name,관련,종류,숫자 최소치,숫자 최대치,숫자 최소치 강화,숫자최대치 강화,이동횟수 강화,이동 횟수,영입 희귀도,영입시 말 개수,강화 레벨,,
n001,흰 토끼,앨리스,기본,1,3,0.8,1.3,0,1,5,1,0,,
n002,제비,행복한 왕자,기본,1,2,0.7,1,0,2,5,1,0,,
n003,앤드류 스피디,필리어스 포그,기본,2,4,0.7,1,0,1,5,1,0,,
n004,노틀러스호 선원,네모 선장,기본,2,3,0.7,1,0,1,5,1,0,,
n005,다람쥐,빨간망토,기본,1,3,0.8,1,0,1,5,1,0,,
n006,난쟁이,백설공주,기본,2,3,0.8,1,0,1,4,1,0,,
n007,순록,게르다,기본,2,3,1,1.2,0,1,5,1,0,,
n008,트럼프 병사,하트 퀸,기본,2,2,1.2,1.2,0,1,5,1,0,,
n009,성난 군중,오스카 와일드,기본,1,2,0.4,0.7,0,1,5,2,0,,
n010,인디언,포그의 친구들,기본,2,3,0.5,0.9,0,1,5,1,0,,
n011,군함 선원,군함,기본,2,2,0.7,1,0,1,5,1,0,,
n012,새끼 늑대,빨간망토의 늑대,기본,2,2,0.5,1,0,1,5,1,0,,
n013,독사과,사과 마녀,기본,1,2,0.8,1,0,1,4,1,0,,
n014,눈 군단병,눈의 여왕,기본,1,4,0.9,0.9,0,1,5,1,0,,
n015,,,,,,,,,,,,,,
n016,,,,,,,,,,,,,,
n017,,,,,,,,,,,,,,
n018,,,,,,,,,,,,,,
n019,,,,,,,,,,,,,,
n020,,,,,,,,,,,,,,
n021,,,,,,,,,,,,,,
