ID,Name,좌우 워프,전방향 전투,위치 교체,공격시 상대 숫자 변동,자신 숫자 변동,죽으면 패배,홀수 차례만 효과,짝수 차례만 효과,위치 고정,상대 진영 끝에 도달하면 강화(뒤집기),대각선만 이동,전방위 이동,자신 진영에서만 이동 가능,중립진영에 배치,못 움직임 사망시,숫자 범위 변하지 않음,뒤로 이동 불가,차례 종료시 랜덤 이동,다른 아군 숫자 변동,못 움직임 이동 대신,,,,
o001,부엉이,,,,,1,,,TRUE,,,,,,,,,,,,,,,,
o002,유니콘,,,,,,,,,,,,,,,,,TRUE,,,,,,,
o003,어린왕자,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,
o004,네시,,,,,,,,,,,,,TRUE,,,,,,,,,,,
o005,개구리,,,,,,,,,,,TRUE,,,,,,,,,,,,,
o006,말하는 장미꽃,,,,,,TRUE,,,TRUE,,,,,,,,,,2,,,,,
o007,사막여우,,,,,,,,,,,,,,,,,,TRUE,,,,,,
o008,보아뱀,,,,,,,,,,,,,,,,,,,,,,,,
o009,독사,,,,,,,,,,,,,,,TRUE,,,,,,,,,
o010,매드 해터,,,,,,,,,TRUE,,,,,,,TRUE,,TRUE,,,,,,
o011,마치 헤어,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,
o012,도마우스,,,,,,,,TRUE,TRUE,,,,,,,,,TRUE,,,,,,
o013,험프티 덤프티,,,TRUE,,,,,,,,,,,,,,,,,,,,,
o014,재버워크,,TRUE,,,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,,,
