ID,Name,좌우 워프,전방향 전투,위치 교체,공격시 상대 숫자 변동,자신 숫자 변동,죽으면 패배,홀수 차례만 효과,짝수 차례만 효과,위치 고정,상대 진영 끝에 도달하면 강화(뒤집기),대각선만 이동,전방위 이동,자신 진영에서만 이동 가능,중립진영에 배치,못 움직임 사망시,숫자 범위 변하지 않음,뒤로 이동 불가,차례 종료시 랜덤 이동,다른 아군 숫자 변동,못 움직임 이동 대신,,,,
u001,체셔 캣,,,TRUE,,,,,,,,,,,,,,,,,,,,,
u002,보석을 문 제비,,,,,,,,,,,,TRUE,,,,,,,,,,,,
u003,장 파스파르투,,,,,,,,,,,,,,,,,TRUE,,,,,,,
u004,노틸러스호,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,
u005,늑대 사냥꾼,,,,,,,,,,,,,,,,,,,,,,,,
u006,백설공주 왕자,,,,,,,,,,,,,,,,,,,,,,,,
u007,연기 기둥 천사,,,,,,,,,,,,,,,,TRUE,,,,,,,,
u008,하트 잭,,TRUE,,1,,,,,,,,,,,,,,,,,,,,
u009,정예병,,,,,,,,,,,,,,,,,,,,,,,,
u010,픽스,,,,,,,,,,,,,,,,,,,,TRUE,,,,
u011,대왕 오징어,,,,,,,,,,,,,TRUE,,,,,,,,,,,
u012,중간 늑대,,,,,2,,TRUE,,,,,,,,,,,,,,,,,
u013,거울,,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,
u014,눈 군단장,,,,,,,,,,,,,,,,,,,1,TRUE,,,,
u015,,,,,,,,,,,,,,,,,,,,,,,,,
u016,,,,,,,,,,,,,,,,,,,,,,,,,
u017,,,,,,,,,,,,,,,,,,,,,,,,,
u018,,,,,,,,,,,,,,,,,,,,,,,,,
u019,,,,,,,,,,,,,,,,,,,,,,,,,
